ticker,company_name,sector,exchange
CBA.AX,Commonwealth Bank of Australia,Financials,ASX
WBC.AX,Westpac Banking Corp,Financials,ASX
ANZ.AX,ANZ Group Holdings,Financials,ASX
NAB.AX,National Australia Bank,Financials,ASX
MQG.AX,Macquarie Group,Financials,ASX
IAG.AX,Insurance Australia Group,Financials,ASX
QBE.AX,QBE Insurance Group,Financials,ASX
SUN.AX,Suncorp Group,Financials,ASX
AMP.AX,AMP Limited,Financials,ASX
CGF.AX,Challenger Limited,Financials,ASX
ASX.AX,ASX Limited,Financials,ASX
CPU.AX,Computershare Limited,Financials,ASX
PPT.AX,Perpetual Limited,Financials,ASX
BEN.AX,Bendigo and Adelaide Bank,Financials,ASX
BOQ.AX,Bank of Queensland,Financials,ASX
NWL.AX,Netwealth Group,Financials,ASX
HUB.AX,Hub24 Limited,Financials,ASX
IFL.AX,Insignia Financial,Financials,ASX
MFG.AX,Magellan Financial Group,Financials,ASX
PNI.AX,Pinnacle Investment Management,Financials,ASX
ZIP.AX,Zip Co Limited,Financials,ASX
CSL.AX,CSL Limited,Health Care,ASX
RMD.AX,ResMed Inc,Health Care,ASX
COH.AX,Cochlear Limited,Health Care,ASX
SHL.AX,Sonic Healthcare,Health Care,ASX
RHC.AX,Ramsay Health Care,Health Care,ASX
MPL.AX,Medibank Private,Health Care,ASX
NHF.AX,nib Holdings,Health Care,ASX
PME.AX,Pro Medicus Limited,Health Care,ASX
HLS.AX,Healius Limited,Health Care,ASX
ANN.AX,Ansell Limited,Health Care,ASX
BHP.AX,BHP Group,Materials,ASX
RIO.AX,Rio Tinto Limited,Materials,ASX
FMG.AX,Fortescue Limited,Materials,ASX
S32.AX,South32 Limited,Materials,ASX
MIN.AX,Mineral Resources,Materials,ASX
NST.AX,Northern Star Resources,Materials,ASX
EVN.AX,Evolution Mining,Materials,ASX
LYC.AX,Lynas Rare Earths,Materials,ASX
IGO.AX,IGO Limited,Materials,ASX
SFR.AX,Sandfire Resources,Materials,ASX
ILU.AX,Iluka Resources,Materials,ASX
RRL.AX,Regis Resources,Materials,ASX
PLS.AX,Pilbara Minerals,Materials,ASX
AMC.AX,Amcor plc,Materials,ASX
JHX.AX,James Hardie Industries,Materials,ASX
ORA.AX,Orora Limited,Materials,ASX
WDS.AX,Woodside Energy Group,Energy,ASX
STO.AX,Santos Limited,Energy,ASX
BPT.AX,Beach Energy,Energy,ASX
WHC.AX,Whitehaven Coal,Energy,ASX
KAR.AX,Karoon Energy,Energy,ASX
NHC.AX,New Hope Corp,Energy,ASX
WOW.AX,Woolworths Group,Consumer Staples,ASX
COL.AX,Coles Group,Consumer Staples,ASX
MTS.AX,Metcash Limited,Consumer Staples,ASX
TWE.AX,Treasury Wine Estates,Consumer Staples,ASX
A2M.AX,a2 Milk Company,Consumer Staples,ASX
ING.AX,Inghams Group,Consumer Staples,ASX
GNC.AX,GrainCorp Limited,Consumer Staples,ASX
WES.AX,Wesfarmers Limited,Consumer Discretionary,ASX
JBH.AX,JB Hi-Fi Limited,Consumer Discretionary,ASX
HVN.AX,Harvey Norman Holdings,Consumer Discretionary,ASX
SUL.AX,Super Retail Group,Consumer Discretionary,ASX
